Work ID,Title,Author,Series,First Publisher,Last Updated By,Thumbnail Picture,Ratings
95708,Smoking increases the risk of falling in love,Netoromorichon,"COMIC Kairakuten One-shot
[June 2023]",Fushimi-an (2023-08-28 22:35:24),Fushimi-an (2023-08-28 22:35:24),,3
26096,Kicker Retsuo,Masaharu Kojima (Masaki Yamato) [illustration],"Weekly Shonen Champion End of serialization
[December 1979 - May 1980]
Notes: Issue 52, 1979 (December 24th issue) - Issue 21, 1980 (May 19th issue)",Mangaseek Editorial Department (2007-05-27 16:34:59),Morizaru (2020-01-25 15:38:30),,3
20250,Kikkai-kun,"Dynamic Pro
[Illustration]

Nagai Go
[Illustration]","Weekly Shonen Magazine End of serialization
[January 1969 - October 1970]
Notes Issue 6, 1969 (February 2nd issue) - Issue 46, 1970 (November 8th issue)",Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2016-09-11 21:44:51),,4
41268,Strange Cinderella,Yoshiko Hanazumi,"Bouquet One-shot
[October 1985]",Zenshimo (2016-01-03 09:05:11),Zenshimo (2016-01-03 09:05:11),,5
20251,Kikkai vs Omorai: The World's Best Martial Artist Tournament,"Dynamic Pro
[Illustration]

Nagai Go
[Illustration]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:07:27),,4
32213,Trigger,Atsushi Yamazaki,"COMIC Tenma
[2003]
Notes: October 2003 issue (20 pages)",Mangaseek Editorial Department (2007-07-04 22:05:13),Kono (2015-07-20 10:15:43),,4
85977,chance,Jorori,"COMIC HOTMILK One-shot
[May 2022]",Fushimi-an (2022-05-30 21:23:11),Fushimi-an (2022-05-30 21:23:11),,4
74841,Kikka wants to be a villainess!,"Kusaka-san
[Illustrator]

Kohei Souma
[Original Story]","Manga Time Kirara MAX serialization ended
[November 2020 - January 2023]
Notes January 2021 issue (released November 19, 2020) - March 2023 issue (released January 19)",Hyakumi (2020-11-22 09:30:56),Hyakumi (2023-01-19 20:08:03),,1
54831,Leave it to Kikki,Rurika Kasuga,"Ribbon Otanoshimi Special Edition, one-shot
[1997]
Notes: 1997 Winter Vacation Otanoshimi Special Edition",Morizaru (2017-08-16 21:06:59),Morizaru (2017-08-16 21:06:59),,3
59640,Kick Assista,Mirror,"Comic Flapper One-shot
[October 2012]
Notes November 2012 issue (released October 5th)",Guest (2018-04-05 05:27:53),Guest (2018-04-05 05:27:53),,1
28368,Kickoff [One-shot version],One-shot version,Chiba Taku,,Mangaseek Editorial Department (2004-01-08 01:37:02),,4
9004,kick off,"Chiba Taku
Masterpiece","Weekly Shonen Jump End of serialization
[1982-1982]
Notes Issue 5, 1982 - Issue 50, 1983",Mangaseek Editorial Department (2003-09-08 03:04:29),Yanako (2015-11-11 11:32:36),,1
53651,Kickoff [Special Edition],Special Edition,Chiba Taku,,Morizaru (2017-06-25 16:07:40),,5
40729,Kickoff Shuuta,"Aoki Gyo
[Illustrator]
The magazine's table of contents lists it as ""manga""

Souda Hirohisa
[Original Story]","Monthly Shonen Challenge serialization ended
[January 1979]
Notes: February 1979 issue~",Morizaru (2015-12-19 00:07:37),daisuke (2022-08-20 13:39:36),,3
52957,Kick Spirit,"Kajiwara Ikki
[Original work]

Nanba Kenji
[Illustration]",Weekly Shonen King serialization ended,Morizaru (2017-05-21 22:41:38),daisuke (2023-06-08 00:05:23),,1
31124,KICK! KICK! KICK! KICK!,Okuya Michinori (Oku Michinori),,Mangaseek Editorial Department (2004-08-23 21:18:51),Kono (2015-07-20 10:14:59),,5
5195,Kick the Chu,"Mamoru Sugisaki
[Illustrator]

Tsuyoshi Nakaima
[Original Story]","Monthly Shonen Jump
[December 1990]
Notes: From the 1991 New Year's special issue",Mangaseek Editorial Department (2007-05-20 14:57:17),Yanako (2015-11-06 22:09:33),,3
26782,Kicks Megamix,Masayuki Yoshikawa,"Weekly Shonen Jump End of serialization
[June 2003 - September 2003]
Notes Issues 28 - 41, 2003",Mangaseek Editorial Department (2004-01-06 11:28:04),Kono (2015-07-20 10:13:04),,1
22494,Kicking Demon,"Nakajo Kentaro (Nakajo Ken) [Illustrator]

Kajiwara Ikki [Original Story]

Takamori Asao (Kajiwara Ikki) [Original Story]","Shonen Gaho serialization ended
[1969-1970]
Notes February 1969 issue - 18th issue of 1970 (first part) (2nd issue - 4th, 6th, 9th issue of 1970)
Shonen Gaho serialization ended
[1970-1971]
Notes 20th issue of 1970 - 8th issue of 1971 (second part) (20th and 21st issues of 1970)",Mangaseek Editorial Department (2003-03-15 21:30:55),Morizaru (2015-08-15 17:00:51),,2
8039,Kickstarter Mamoru,boiled egg,"Weekly Shonen Jump End of serialization
[1990-1991]
Notes Issue 33, 1990 - Issue 13, 1991",Mangaseek Editorial Department (2003-03-24 22:50:15),Morizaru (2017-07-01 21:36:37),,3
32499,If you're feeling down... you're a prisoner,Yuuki,"COMIC Tenma
[July 2007]
Notes August 2007 issue",Mangaseek Editorial Department (2007-07-16 19:52:02),Kono (2015-07-20 10:15:57),,5
44446,Cafe anger,Oda Yua,Magazine data unknown/unregistered Serialization ended,Morizaru (2016-05-09 16:07:08),Morizaru (2016-05-09 16:07:08),,4
72520,Kidza All Right,Reiji Hagiwara,"Shonen Oh serialization ended
[October 1994 - February 1995]
Notes October 1994 issue (first issue) - February 1995 issue",daisuke (2020-09-12 15:26:04),daisuke (2020-09-12 15:26:04),,1
94313,The daily life of Cafe Kamome,Choma,"Comic Days One-shot
[June 2023]
Notes: Released June 30, 2023
Moai One-shot",Morizaru (2023-07-04 20:27:31),Morizaru (2023-07-04 20:27:31),,1
65252,Curry at a coffee shop,Kawakami Koma,"Solo Meals: Omoide Shokudo Special Edition One-shot
[May 2018]
Notes No.18 Today is curry♪ (Published May 28, 2018/Released May 14, 2018)",Morizaru (2019-03-10 00:05:11),Morizaru (2019-03-10 00:05:11),,1
65028,Coffee shop hamburger,Kawakami Koma,"Solo Meals: Omoide Shokudo Special Edition One-shot
[September 2017]
Notes No.14 Fukufuku♪ Onigiri (Published September 25, 2017/Released September 11, 2017)",Morizaru (2019-03-03 14:27:52),Morizaru (2019-03-03 14:27:52),,3
65321,Hot cakes at a coffee shop,Miyahara Miyako (Miyahara Miyako),"Tokimeki Gohan [Special Edition of Omoide Shokudo] One-shot
[June 2018]
Notes No.8 Homemade Gapao Rice♪ (Published June 25, 2018/Released June 11, 2018)",Morizaru (2019-03-13 22:55:47),Morizaru (2019-03-13 22:55:47),,2
67379,Coffee shop meat sauce,Yuki Yamazaki,"Omoide Shokudo Special Edition [B6 Edition] One-shot
[February 2017]
Notes: ""Omoide Gohan Taisho My Dining Story"" (Published February 20, 2017/Released February 6, 2017)",Morizaru (2019-06-29 12:42:03),Morizaru (2019-06-29 12:42:03),,2
67462,Morning at a coffee shop,Toshiya Iwamura,"Omoide Shokudo Special Edition [B6 Edition] One-shot
[April 2018]
Notes: ""Breakfast, let's go to Breakfast Restaurant!"" (Published April 30, 2018/Released April 16, 2018)",Morizaru (2019-06-29 17:34:05),Morizaru (2019-06-29 17:34:05),,4
94317,"Coffee shop ""Brown""",Light rain,"Comic Days One-shot
[June 2023]
Notes Released June 30, 2023
Moai One-shot",Morizaru (2023-07-04 20:45:30),Morizaru (2023-07-04 20:45:30),,2
18880,Welcome to the Kissa Dope Show,Hiroyuki Ohshima (Hiroyuki Ohshima),,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:07:21),,5
100760,Kidza Sacrifice,Window (window base),,Fushimi-an (2024-03-03 23:27:15),Fushimi-an (2024-03-03 23:27:15),,3
79113,Cafe Club!,Amaka,"Magazine data unknown/unregistered One-shot

Notes: Published in Manga Goccha.",Hyakumi (2021-04-13 19:39:51),Hyakumi (2021-04-13 19:39:51),,3
75556,Cafe Club!,"Saku Usako
[Manga]

Kasama Hiroyuki
(Kasama Hiroyuki)
[Original work]","Magazine data unknown/unregistered One-shot

Notes: Published in Manga Goccha.",Hyakumi (2020-12-21 19:35:22),Hyakumi (2020-12-21 19:35:22),,5
43942,Cafe Yorimichi,Kiki,"Manga Time Kirara Carino One-shot
[June 2013]
Notes Vol.6 (Released June 27, 2013)",Morizaru (2016-04-11 22:16:50),Morizaru (2016-04-11 22:16:50),,2
43517,Kissies,Vivian Green,Weekly Margaret [1963-1987] Serialization ended,Morizaru (2016-03-19 22:36:19),Morizaru (2016-03-19 22:36:19),,5
11027,Kissies,"Yamada Ya

Masterpiece",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:23),,3
67636,Quiche,Sweet potato field Sally Kitaki Falls,"Everyone's Dining Table One-shot
[June 2019]
Notes No.28 Fun One-Plate (Published July 8, 2019/Released June 24, 2019)",Morizaru (2019-06-30 14:25:24),Morizaru (2019-06-30 14:25:24),,5
55092,Quiche,Bamboo shoot,"Everyone's Dining Table One-shot
[August 2017]
Notes No.17 My Chinese Cuisine (Published September 11, 2017/Released August 28, 2017)",Guest (2017-08-29 16:40:32),Guest (2017-08-29 16:40:32),,5
11744,Kisshogafuchi,Yu Kamiya,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:40),,4
54741,The Lucky Fortune Teller Kyotaro's Deduction: The Lucky Revelation of the Sanada Family,"Iku Oyamada

Masakazu Higuchi
[Original]","Weekly Shonen Champion One-shot
[April 1996 - May 1996]
Notes: 1996 issue 22-23 combined (May 9-16 combined), issue 24 (23rd issue)",Morizaru (2017-08-13 08:55:17),Morizaru (2018-02-02 21:24:04),,5
8113,Auspicious goddess,Yoshida Akio,"Bessatsu Shojo Comic serialization ended
[1983-1984]
Notes March 1983 issue - July 1984 issue",Mangaseek Editorial Department (2002-11-16 15:31:03),Masuke (2017-04-02 18:44:50),,3
7850,Kiss,Yamada Night,young magazine,Mangaseek Editorial Department (2003-10-08 02:46:15),Masuke (2015-11-08 23:19:19),,5
31452,Kiss,Yasuto Yamamoto,"Big Comic Original [1974-]
[July 1998]
Notes July 20, 1998 issue",Mangaseek Editorial Department (2007-05-19 21:21:58),Kono (2015-07-20 10:15:10),,1
14698,Kiss,Daisuke Muroi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:06),,3
11738,KIDS!,Yu Kamiya,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:41),,3
7486,Kids,Hideki Mori,Shonen Big Comic serialization ended,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2016-05-01 23:18:12),,5
22674,KIDS!,Koichi Igarashi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:21),,2
50865,Which kiss would you like?,Hiroko Tsujimura,"Bessatsu Friend [1965-1984] One-shot
[1973]
Notes August 1973 issue",Morizaru (2017-03-31 22:38:04),Morizaru (2017-03-31 22:38:04),,4
70796,Kiss girl,Hironori Ueda,"Afternoon serialization ended
[May 2003 - July 2003]
Notes July 2003 issue - September 2003 issue",daisuke (2020-05-17 15:24:45),daisuke (2020-05-17 15:24:45),,3
22111,I want to kiss you,Minoru Ito,,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2016-12-11 21:39:00),,5
51292,What's a kiss?,Mayumi Yoshida,,Morizaru (2017-04-16 00:12:10),Morizaru (2017-04-16 00:12:10),,4
23559,Kids Joker,Maki Fujita,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:05:49),,5
29534,Kids Channel!!,Walnut tree Walnut (Yuriko Suda),,Mangaseek Editorial Department (2004-04-27 19:56:24),Kono (2015-07-20 10:14:13),,3
72440,Kids Dick Parade,Yamamoto Kumoi,Magazine data unknown/unregistered One-shot,Fushimi-an (2020-09-10 23:35:23),Fushimi-an (2020-09-10 23:35:23),,3
80176,Kiss and Go!,Ozaki Nanatsu,,Morizaru (2021-05-05 14:30:13),Morizaru (2021-05-05 16:04:10),,2
46968,You can tell by a kiss!,Misako Okuno,"Bessatsu Shojo Comic One-shot
[1971]
Notes September 1971 issue",Morizaru (2016-09-28 23:11:50),Morizaru (2016-09-28 23:12:27),,4
21605,Kids Talk,Nozomi Yanagihara,"LaLa DX
[May 2001 - March 2002]",Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:54),,3
25883,Kids Train,Hayashi,COMIC Penguin Club [(~July 2012 issue)],Mangaseek Editorial Department (2007-07-19 21:57:28),Tofana Water (2016-06-12 20:11:22),,5
88542,Leave the kiss to us! School prank series 1,Yoko Kosakabe,"Bessatsu Friend [1965-1984] One-shot
[1972]
Notes August 1972 issue",Morizaru (2022-12-19 21:59:03),Morizaru (2022-12-19 21:59:03),,3
31159,Kiss me please,Unno Tsunami,"Nakayoshi One-shot
[May 1991]",Mangaseek Editorial Department (2004-08-29 21:17:57),Masuke (2015-12-13 11:59:55),,3
40390,The price of a kiss!?,Kaoru Tada,"Deluxe Margaret One-shot
[1977]
Notes: Fall 1977 issue",Kono (2015-12-08 17:56:31),daisuke (2022-08-24 14:04:37),,3
70675,A kiss is the devil's gift,Mikami,"Hana to Yume One-shot story
[1977]
Notes: Issue 12, 1977 (June 20th issue)",Monaka (2020-05-02 09:30:07),Monaka (2020-05-02 09:30:07),,5
64741,Don't beg for a kiss!,Mariko Iwadate,"Weekly Margaret [1963-1987] Serialization ended
[1974-1975]
Notes: Issue 52, 1974 - Issue 6, 1975",Morizaru (2019-02-28 21:30:55),Morizaru (2019-02-28 21:30:55),,1
1124,Kiss me with your eyes,Noriko Ueda,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:08:13),,4
54969,Kids be ambitious!,Sumio Horiguchi,"Bears Club One-shot
[April 1988]
Notes June 1988 issue (first issue, released April 25, 1988)",Morizaru (2017-08-20 01:36:24),Morizaru (2017-08-20 01:36:24),,4
10086,KIOSKFLAPPER,Namie Iwao,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:09:59),,1
81722,Kids Mania,Machida Opening,"COMIC LO One-shot
[September 2020]",Fushimi-an (2021-08-04 21:59:13),Fushimi-an (2021-08-04 21:59:13),,1
71125,The Gittan Bakkon Story,Hara Taira,Heibon Punch serialization ended,daisuke (2020-06-16 22:32:04),daisuke (2020-06-16 22:32:04),,5
12213,Kitchen man! Mr. Shakujii,"Haruki Izumi
(Haruki Izumi)",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:45),,3
32596,Kitchen x Hours,Yuko Ichijo,"Big Comic Special Issue [Published five times a year (marked as ""Special Issue of Month"")] End of serialization
[July 2007 - 2008]
Notes Special Issue of August 17, 2007",Mangaseek Editorial Department (2007-07-17 11:49:01),Kono (2015-06-23 21:24:49),,5
76516,Princess in the kitchen,"Natsumi Ando

Representative work

Miyuki Kobayashi

[Original work] Representative work","Nakayoshi serialization ended
[August 2004 - August 2008]
Notes September 2004 issue - September 2008 issue",daisuke (2021-01-17 09:45:26),daisuke (2021-01-17 09:45:26),,4
46664,Kitchen gap,Pep,,Guest (2016-09-09 18:48:34),Guest (2016-09-09 18:48:34),,2
11977,Kitchen Guru,"Shimizu Yasuyo
Masterpiece",,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2017-07-12 22:42:48),,1
5330,Kitchen Paradise,"Hashimoto Mitsuo

Aoyama Hiromi
[Scenario]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2017-12-26 19:39:09),,3
93596,Kitchen Fighter,Kenichi Watanabe,"Newly drawn Newly drawn
[March 1986]
Notes Published in ""Sailor Suit BOX '86"" (published by Byakuya Shobo)",daisuke (2023-05-30 23:10:26),daisuke (2023-05-30 23:10:26),,4
91554,Woodpecker Kanta,Fujio Akatsuka,"Weekly Shonen Magazine serialization ended
[May 1961]
Notes: From issue 23, 1961 (June 4th issue)",Morizaru (2023-03-18 10:49:50),Morizaru (2023-03-18 10:49:50),,2
33437,Big,"Daisuke Terasawa
[Illustration]

Enshu Takahashi
[Cooperation]
Scenario cooperation","Big Comic serialization ended

Big Comic special edition [issued five times a year (labeled as ""special edition for ◯ month"")] serialization ended",Morizaru (2015-06-21 09:13:32),Kono (2015-06-21 09:13:32),,3
2981,KID,Kenichi Kotani,,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2017-06-24 02:38:08),,3
74091,I'm sure you'll be a beloved girl!,Mizuki Setoguchi,"Manga Time Original Serialization ended
[January 2017 - February 2019]
Notes March 2017 issue - April 2019 issue",daisuke (2020-10-29 10:16:12),daisuke (2020-10-29 10:16:12),,1
60346,You'll definitely fall in love.,Ichii Kazumi,Currently serialized in Petit Comic,Morizaru (2018-05-14 22:41:14),Morizaru (2018-05-14 22:41:14),,2
65972,"It must be love, so I don't need it",Minase Ai,,Masuke (2019-05-03 16:40:34),Masuke (2019-05-03 16:40:34),,3
90028,Kid Eye Luck!,"Nagata Yuyuki

Machida Kazuya
[Composition cooperation]","Young Gangan serialization ended
[June 2012 - June 2013]
Notes 2012 No. 12 (June 15, 2012 issue/on sale June 1, 2012) - 2013 No. 12 (June 21, 2013 issue/on sale June 7, 2013)",Morizaru (2023-01-26 00:39:42),Morizaru (2023-01-26 00:39:42),,1
13742,We will definitely meet,Fumiko Nozaki,,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2017-05-06 19:45:12),,5
5736,Surely your lips are sweet,Yumi Hanada,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:09:25),,3
831,I can say it,Mayumi Ide,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:08:22),,4
8571,Surely someday it will become a temple of happiness,Takeshi Arima,,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2019-01-13 15:03:07),,5
54643,I bet she's a cute girl,Hiroki Endo,"Afternoon One-shot
[January 1996]
Notes March 1996 issue",Monaka (2017-07-31 00:07:22),Monaka (2017-07-31 00:07:22),,3
51313,I'm sure she's a cute girl,"Miharu
(Yanagimoto Mitsuharu)

Only the first episode is written under the name ""Miharu""
Yanagimoto Mitsuharu

From the second episode onwards, the name is ""Yanagimoto Mitsuharu""","Monthly Big Gangan One-shot
[October 2011 - November 2012]
Notes: First issue (released October 25, 2011, special one-shot), 2012 Vol. 07 - Vol. 09 (3 consecutive one-shots), Vol. 12 (released November 24, special one-shot)",Masuke (2017-04-16 07:43:10),Masuke (2019-05-01 07:14:42),,4
72437,Surely it's you,Esuke,"COMIC Kairakuten one-shot
[2018]",Fushimi-an (2020-09-10 23:30:40),Fushimi-an (2021-09-28 18:09:27),,3
13602,Surely a marriage story,Mika Horiuchi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:56),,2
64171,Surely Someday,Yoshimi Kurata,,Morizaru (2019-01-04 00:06:20),daisuke (2022-08-07 14:36:39),,5
96954,I don't know,My back is ass,"COMIC Kairakuten One-shot
[October 2023]",Fushimi-an (2023-11-24 23:50:47),Fushimi-an (2023-11-24 23:50:47),,5
88506,I'm sure you're a wonderful sister!,Yuuta Okumotto,"COMIC Kairakuten One-shot
[November 2022]",Fushimi-an (2022-12-18 23:29:05),Fushimi-an (2022-12-18 23:29:05),,2
56834,Surely he's my soulmate!,Akira Kamishima,,Morizaru (2017-11-25 21:00:28),daisuke (2022-08-06 14:41:51),,5
75493,I'll be by your side,Sixteenth and eighteenth daughters,,Fushimi-an (2020-12-17 23:36:06),Fushimi-an (2020-12-17 23:36:06),,2
11970,"I'm sure, senpai",Yoshiko Shimizu,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:43),,5
91391,It must be a perfect day for first love.,Yoshino Tsumugu,"Bessatsu Friend [1985-]
[January 2023]
Notes: ""Betsufure NEXT★"" February and April 2023 issues",Morizaru (2023-03-14 10:51:31),Morizaru (2023-03-14 10:51:31),,2
42110,Kid Pistols Punk = Mother Goose Case Files,"Kairi Shimotsuki
[Illustrator]
Masaya Yamaguchi
[Original Story]","Mystery B Street serialization ended
[October 2002 - August 2003]
Notes December 2002 issue - October 2003 issue",Morizaru (2016-02-01 23:33:13),Morizaru (2016-02-01 23:33:13),,4
85711,Surely again,December Snow,"Newly drawn Newly drawn
[2021]",Fushimi-an (2022-04-28 23:57:31),Fushimi-an (2022-04-28 23:57:31),,5
65056,Kitsune Udon,Sakaki Shin,"Solo Meals: Omoide Shokudo Special Edition One-shot
[January 2018]
Notes No.16 My Favorite Udon♪ (Published January 29, 2018/Released January 15, 2018)",Morizaru (2019-03-03 16:13:18),Morizaru (2019-03-03 16:13:18),,4
67546,Kitsune Udon,Hiroki Izumi,"Omoide Shokudo Special Edition [B6 Edition] One-shot
[February 2019]
Notes: ""Noodles, My Favorite Bowl!"" (Published February 26, 2019/Released February 12, 2019)",Morizaru (2019-06-29 22:26:53),Morizaru (2019-06-29 22:26:53),,2
66715,Kitsune Udon,Mitsunori Nakamura,"Omoide Shokudo One-shot
[September 2018]
Notes No.42 Nori Bento Edition (Published October 9, 2018/Released September 25, 2018)",Morizaru (2019-06-08 11:21:05),Morizaru (2019-06-08 11:21:05),,2
66298,Kitsune Udon,Caro Harashima,"Omoide Shokudo One-shot
[March 2015]
Notes No.21 Udon for good health! (Published April 13, 2015/Released March 30, 2015)
Omoide Shokudo Special Edition [B6 Edition] One-shot
[June 2017]
Notes Reprint: ""Noodles: Old tastes and new bowls"" (Published June 19, 2017/Released June 5, 2017)",Morizaru (2019-05-19 10:00:14),Morizaru (2019-05-19 10:00:14),,5
21755,The leaf the fox gave me,Kazuo Umezu,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:51),,4
30336,I want to be tricked by a fox!,Kuwahara hihihi (Kuwahara Akira),"Manga Time Kirara End of serialization
[September 2003 - May 2009]
Notes Vol. 15 (released September 9, 2003) - June 2009 issue (released May 9)",Mangaseek Editorial Department (2004-05-11 22:29:39),Hyakumi (2021-01-23 15:36:12),,1
84386,The Fox and the Finch,Takeda Hinata,,Fushimi-an (2022-01-16 21:10:47),Fushimi-an (2022-01-16 21:10:47),,2
93198,The Fox and the Fried Chicken,Mota,"Quarterly GELATIN One-shot
[2009]
Notes 2009SUMMER",Fushimi-an (2023-05-10 21:19:36),Fushimi-an (2023-05-10 21:19:36),,3
79003,A fox and a raccoon dog,Winter oranges,,Fushimi-an (2021-04-10 22:50:05),Fushimi-an (2021-04-10 22:50:05),,5
97990,A fox and a raccoon dog playing a game,Tanaka,"Manga Time Kirara Forward One-shot
[March 2019]
Notes May 2019 issue (on sale March 23)",Hyakumi (2023-12-25 18:58:52),Hyakumi (2023-12-25 18:58:52),,5
35414,Fox and pancakes,Ema Toyama,"Manga Time Jumbo serialization ended
[March 2014 - January 2018]
Notes April 2014 issue (released March 12th) - February 2018 issue",Guest (2015-07-30 23:51:26),Morizaru (2018-11-04 00:06:11),,3
49820,The Fox and the Grapes,Kaiji Kawaguchi,,Morizaru (2017-02-20 21:59:42),Morizaru (2017-02-20 21:59:42),,4
75638,The Fox and Yuriko,Manami Kanno,"Dengeki Daioh Genesis One-shot
[2010]",Fushimi-an (2020-12-25 23:49:09),Fushimi-an (2020-12-25 23:49:09),,4
44693,Kitsune rice bowl,Yamano Rinrin,"Minna no Shokutaku One-shot
[April 2016]
Notes No.9 (Released April 25, 2016)",Morizaru (2016-05-23 18:37:03),Morizaru (2016-05-23 18:37:03),,3
78255,Kiddy Girl Pure,"Yukari Hika
[Manga]

gímik
[Original]

Hidefumi Kimura
[Screenplay]","Monthly Comp Ace serialization ended
[July 2009 - April 2010]
Notes September 2009 issue - June 2010 issue",daisuke (2021-03-12 17:01:05),daisuke (2021-03-12 17:01:05),,4
77941,Kiddy Grade -Reverse-,"Hiyohiyo
[Manga]

GONZO
[Original]

gímik
[Original]","Shonen Ace: End of serialization
[August 2002 - January 2003]
Notes: October 2002 issue - March 2003 issue",daisuke (2021-02-28 11:58:26),daisuke (2021-02-28 11:58:26),,5
27070,Kiddy Grade VS,Fujimaru Arikui,,Mangaseek Editorial Department (2004-03-31 08:48:55),Kono (2015-07-20 10:13:56),,1
18728,Kitty Hawk Specimen No. 2,Yoshimasa Tsutsumi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:07:47),,3
25882,KIDDY LAND Special,"Shinagawa KID
Masterpiece",Comic Penguin Club [(~July 2012 issue)] Serialization ended,Mangaseek Editorial Department (2003-04-19 15:48:42),Kono (2015-07-05 10:18:53),,5
51646,Whistle,Tetsuhiro Morimoto,"Garo One-shot
[1968]
Notes March 1968 issue",Morizaru (2017-04-24 15:57:49),Morizaru (2017-04-24 15:57:49),,2
16199,The Telephone Family,Kenji Morita,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:18),,4
6170,Kiteretsu Encyclopedia,Fujiko Fujio,,Mangaseek Editorial Department (2002-11-16 15:31:03),Guest (2016-08-04 15:17:24),,2
62841,About this strange guy,"Yuki Kodama

Fujiko F. Fujio Productions
[Cooperation]
Fujiko Productions",,Morizaru (2018-09-20 22:42:25),daisuke (2022-07-28 13:53:30),,5
20069,"Joy, anger, love and happiness family",Ohashi Tsuyoshi,,Mangaseek Editorial Department (2007-06-13 19:17:59),Yanako (2016-01-03 22:47:36),,3
15917,"Joy, anger, sorrow and happiness ""Takeshi"" Year 2000 problem",Mitsutoshi Shimabukuro,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:16),,3
40155,Mobile SD Suit Gundam V Operation Begins,"Kawaishi Tetsuya
(Kawaishi Tetsuya)","Comic Bonbon special edition, one-shot
[1992]
Notes: Comic Bonbon August 1992 special edition (summer vacation jumbo edition)",Morizaru (2015-12-02 21:21:56),Morizaru (2015-12-02 21:21:56),,4
7962,Mobile Police Patlabor,"Masami Yuki

Masterpiece

Yutaka Izubuchi
[Cooperation]","Weekly Shonen Sunday End of serialization
[1988-1994]
Notes Issue 17, 1988 - Issue 23, 1994",Mangaseek Editorial Department (2003-07-31 11:06:43),Morizaru (2016-12-24 12:12:41),,3
39283,Mobile Detective Jiban,"Kazunori Aihara
[Illustrator]

Saburo Yatsude
[Original Story]",TV Land serialization ended [1989],Guest (2015-10-31 19:24:46),Guest (2015-10-31 19:24:46),,1
71501,Mobile Boy XX,Tachiki Yamato,"Transferred to Shonen Gangan
[1996-1996]
Notes: 1996 No. 3-1996 No. 13 (transferred to Gangan WING)
End of serialization in Gangan WING",daisuke (2020-08-13 11:46:52),daisuke (2020-08-13 11:46:52),,2
27771,After War Gundam X,"Tokita Kouichi
[Art]

Tomino Yoshiyuki
[Original Story]

Yatate Hajime
[Original Story]","Comic Bonbon serialization ended
[April 1996 - December 1996]",Mangaseek Editorial Department (2003-10-24 22:38:50),Kono (2015-07-20 10:12:20),,5
27773,Mobile Suit Gundam X Gaiden: The Story of Jamil Neet,"Tokita Kouichi
[Art]

Tomino Yoshiyuki
[Original Story]

Yatate Hajime
[Original Story]","Comic Bonbon serialization ended
[January 1997 - March 1997]",Mangaseek Editorial Department (2003-10-24 22:39:13),Kono (2015-07-20 10:12:20),,2
16121,Mobile Student Haruo,Yoshitaka Sato,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:18),,2
1100,Mobile Suit Victory Gundam,"Yoshiyuki Tomino

Hajime Yatate

Toshiya Iwamura
[Art]","Comic Bonbon serialization ended
[April 1993 - March 1994]",Mangaseek Editorial Department (2003-10-24 22:43:24),Yanako (2015-10-19 23:41:43),,3
27739,Mobile Suit V Gundam Side Story: Escape Plan,"Yuichi Hasegawa
[Art]

Yoshiyuki Tomino
[Original Story]

Hajime Yatate
[Original Story]",,Mangaseek Editorial Department (2004-08-29 16:04:02),Kono (2015-07-20 10:14:59),,3
